Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C3, C4, C7, C8",0402,5,100 nF,C1525
"C10, C9",0805,2,10 uF,C15850
C2,0603,1,1 uF,C15849
"C5, C6",0402,2,22 pF,C1555
D1,0805,1,PWR_LED,C84256
D2,0603,1,LED,C72038
J1,PinHeader_2x05_P1.27mm_Vertical_SMD,1,J Link,
J2,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,1,USB-C,C136423
J3,PinHeader_1x18_P2.54mm_Vertical,1,Digital,
J4,PinHeader_1x18_P2.54mm_Vertical,1,Analog,
JP1,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,1,PWR_EN,
JP2,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,1,PWR_LED_EN,
JP3,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,1,LED_EN,
"R1, R2",0603,2,1.8 K,C4177
"R3, R5",0402,2,5.1 K,C25905
R4,0402,1,220,C25091
"R6, R7",0402,2,1 K,C11702
SW1,SW_SPST_CK_RS282G05A3,1,RESET,C2888954
U1,SOT-223-3_TabPin2,1,AMS1117-3.3,C6186
U2,TQFP-48_7x7mm_P0.5mm,1,ATSAMD21G18A-A,C78624
Y1,XTAL_CM7V-T1A-32.768K-12.5PF-20PPM-TA-QA,1,32.768 kHz,C32346
