Designator,Mid X,Mid Y,Rotation,Layer
C1,30.988,14.224,315.0,top
C10,15.24,4.572,180.0,top
C2,23.876,13.462,45.0,top
C3,8.382,12.7,90.0,top
C4,22.098,11.43,45.0,top
C5,20.9966,9.652,180.0,top
C6,20.9966,8.128,0.0,top
C7,23.241,5.461,135.0,top
C8,9.398,4.572,270.0,top
C9,11.684,4.572,0.0,top
D1,48.768,5.842,180.0,top
D2,48.9965,4.064,180.0,top
J1,46.99,10.668,0.0,top
J2,2.67,8.888,270.0,top
J3,25.385,16.51,270.0,bottom
J4,25.385,1.27,270.0,bottom
R1,34.798,12.954,270.0,top
R2,36.83,12.954,270.0,top
R3,8.382,10.668,270.0,top
R4,37.084,7.366,90.0,top
R5,8.382,6.604,270.0,top
R6,44.958,5.842,180.0,top
R7,44.958,4.064,180.0,top
SW1,39.878,8.89,90.0,top
U1,14.21,10.16,270.0,top
U2,27.94,8.89,315.0,top
Y1,20.9966,5.3712,270.0,top
